2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Lambeth 027D,E01003134,619,16,190,89,172,149,0,0
Lambeth 027E,E01003152,761,28,211,111,173,214,0,1
Lambeth 028A,E01003064,660,14,120,79,119,324,2,0
Lambeth 028B,E01003066,741,23,110,154,246,181,18,2
Lambeth 028C,E01003081,768,25,148,69,209,256,56,3
Lambeth 028D,E01003166,1020,34,98,126,349,349,50,1
Lambeth 028E,E01003167,681,25,162,284,89,109,3,0
Lambeth 029A,E01003116,634,132,125,82,121,158,3,0
Lambeth 029B,E01003117,841,68,61,135,191,332,26,0
Lambeth 029C,E01003118,688,39,151,79,162,188,35,0
Lambeth 029D,E01003153,929,13,41,35,681,147,6,0
Lambeth 029E,E01003155,750,28,172,229,129,158,24,0
Lambeth 030A,E01003083,594,26,181,156,109,114,1,2
Lambeth 030B,E01003084,673,49,158,38,113,288,3,0
Lambeth 030C,E01003085,697,37,278,138,184,59,0,1
Lambeth 030D,E01003149,694,58,187,121,192,125,1,0
Lambeth 030E,E01003154,786,38,135,121,445,44,1,2
Lambeth 031A,E01003065,666,19,90,117,395,40,2,0
Lambeth 031B,E01003068,657,12,90,212,243,97,1,0
Lambeth 031C,E01003082,651,15,114,257,220,41,4,0
Lambeth 031D,E01003086,647,17,133,157,304,32,2,2
Lambeth 031E,E01003087,611,10,31,28,515,13,4,0
Lambeth 032A,E01003113,817,32,69,97,233,354,2,0
Lambeth 032B,E01003114,765,31,96,215,116,280,3,0
Lambeth 032C,E01003119,813,37,70,75,206,377,16,0
Lambeth 032D,E01003120,961,12,58,58,302,369,63,0
Lambeth 032E,E01003148,762,32,132,84,176,312,2,0
Lambeth 032F,E01003150,769,39,29,8,440,202,4,0
Lambeth 033A,E01003062,795,18,32,122,207,388,23,0
Lambeth 033B,E01003063,664,16,41,75,384,133,1,0
Lambeth 033C,E01003067,599,28,143,166,126,103,27,0
Lambeth 033D,E01003069,520,12,198,137,55,113,0,0
Lambeth 033E,E01003070,655,24,73,163,196,198,1,0
Lambeth 034A,E01003115,669,15,69,100,213,242,12,0
Lambeth 034B,E01003141,723,37,119,221,212,116,15,0
Lambeth 034C,E01003144,520,55,272,94,14,80,2,0
Lambeth 034D,E01003145,783,29,104,85,128,319,26,0
Lambeth 034E,E01003147,797,35,207,103,215,189,19,0
Lambeth 035A,E01003139,542,30,75,314,79,19,19,0
Lambeth 035B,E01003140,492,31,69,373,9,8,2,0
Lambeth 035C,E01003142,453,28,63,342,9,10,1,0
Lambeth 035D,E01003143,516,33,73,317,79,10,0,0
Lambeth 035E,E01003146,524,31,93,318,34,43,3,0
Lambeth 036A,E01003013,854,2,0,18,781,34,15,0
Lambeth 036B,E01003014,678,2,7,74,499,85,8,0
Lambeth 036C,E01003016,526,2,11,56,396,44,12,0
Lambeth 036D,E01003017,862,8,22,138,655,29,10,0
Lambeth 036E,E01032582,920,8,19,61,754,20,47,1
Lewisham 001A,E01003244,618,2,5,15,567,4,3,0
Lewisham 001B,E01003245,584,38,61,109,365,8,0,0
Lewisham 001C,E01003247,685,22,59,265,249,88,2,0
Lewisham 001D,E01003249,897,10,25,106,711,39,2,0
Lewisham 001E,E01003250,763,11,36,82,613,6,0,0
Lewisham 002A,E01003246,559,28,70,153,213,85,4,0
Lewisham 002B,E01003248,718,6,31,35,582,42,2,0
Lewisham 002C,E01003251,777,7,19,43,674,8,8,0
Lewisham 002D,E01003252,613,3,12,22,554,14,3,0
Lewisham 002E,E01003253,669,10,30,86,448,38,54,0
Lewisham 003A,E01003297,767,1,2,14,722,16,1,0
Lewisham 003B,E01003299,609,26,40,243,101,163,16,0
Lewisham 003C,E01003301,767,36,63,241,396,29,0,0
Lewisham 003D,E01003302,710,13,39,105,508,35,4,0
Lewisham 003E,E01003305,513,22,37,205,145,102,1,1
Lewisham 005A,E01003207,615,16,30,101,403,31,24,0
Lewisham 005B,E01003209,778,8,33,119,378,232,4,0
Lewisham 005C,E01003210,850,16,46,130,220,380,28,0
Lewisham 005D,E01003212,867,19,69,361,138,256,16,0
Lewisham 005E,E01003215,666,12,25,131,216,247,20,0
Lewisham 006A,E01003338,771,27,26,94,522,72,21,1
Lewisham 006B,E01003339,763,20,64,176,258,207,6,1
Lewisham 006C,E01003340,797,7,75,108,144,411,11,0
Lewisham 006D,E01003341,581,11,88,161,47,269,1,0
Lewisham 006E,E01003343,626,8,50,193,233,139,1,0
Lewisham 007A,E01003199,801,46,83,131,399,139,3,0
Lewisham 007B,E01003201,680,20,120,130,196,208,2,0
Lewisham 007C,E01003204,603,22,22,45,394,118,0,0
Lewisham 007D,E01003205,502,16,59,60,357,10,0,0
Lewisham 007E,E01003206,698,62,64,50,273,241,0,0
Lewisham 008B,E01003211,753,15,46,71,202,379,7,0
Lewisham 008C,E01003213,813,31,98,65,184,410,1,0
Lewisham 008D,E01003214,745,17,63,133,330,181,17,0
Lewisham 008E,E01033324,642,15,62,347,97,120,1,0
Lewisham 008F,E01033325,706,1,4,8,677,9,0,1
Lewisham 009A,E01003198,639,10,44,165,307,108,2,0
Lewisham 009B,E01003200,756,31,59,175,265,146,71,0
Lewisham 009C,E01003202,764,60,65,244,258,114,9,1
Lewisham 009D,E01003203,980,9,37,108,630,166,17,0
Lewisham 010A,E01003336,577,21,51,118,351,17,1,0
Lewisham 010B,E01003337,600,15,33,109,418,20,0,0
Lewisham 010C,E01003342,702,12,49,179,165,288,0,2
Lewisham 010D,E01003344,719,16,79,188,106,322,2,0
Lewisham 010E,E01003345,719,26,80,229,245,134,5,0
Lewisham 011A,E01003273,666,20,141,264,199,41,1,0
Lewisham 011B,E01003277,778,22,71,129,70,470,3,0
Lewisham 011C,E01003278,805,16,55,260,161,293,10,0
Lewisham 011D,E01003279,654,14,127,274,68,153,16,0
Lewisham 012A,E01003288,794,29,66,172,387,105,21,0
Lewisham 012C,E01003290,725,14,75,130,271,230,5,0
Lewisham 012D,E01003291,682,6,56,67,463,71,9,0
Lewisham 012E,E01003296,1021,12,42,184,723,46,14,0
Lewisham 012F,E01033327,679,19,64,139,245,159,32,0
Lewisham 012G,E01033341,551,18,31,60,272,148,18,0
Lewisham 013A,E01003282,1047,25,75,308,223,386,15,0
Lewisham 013B,E01003283,923,13,106,444,111,133,24,2
Lewisham 013C,E01003284,748,17,81,348,87,197,12,0
Lewisham 013D,E01003286,786,42,45,140,486,55,10,1
Lewisham 014A,E01003272,798,21,54,323,118,249,25,0
Lewisham 014B,E01003274,721,14,88,246,137,214,15,0
Lewisham 014C,E01003275,640,20,113,280,192,33,2,0
Lewisham 014D,E01003276,700,15,191,236,154,96,5,0
Lewisham 015A,E01003225,590,9,199,338,16,23,5,0
Lewisham 015B,E01003231,687,11,61,226,144,197,38,1
Lewisham 015C,E01003232,649,20,100,405,30,84,8,0
Lewisham 015D,E01003233,669,19,64,406,48,126,6,0
Lewisham 016A,E01003280,651,14,109,215,300,11,2,0
Lewisham 016B,E01003281,601,9,225,215,103,49,0,0
Lewisham 016C,E01003285,767,71,87,192,313,83,19,0
Lewisham 016D,E01003287,797,54,147,295,71,220,7,0
Lewisham 017A,E01003292,702,24,65,306,142,125,28,0
Lewisham 017B,E01003293,676,19,59,103,116,355,14,0
Lewisham 017D,E01003295,653,13,44,195,100,270,29,0
Lewisham 017E,E01033320,645,14,47,213,207,160,4,0
Lewisham 017F,E01033322,594,4,23,59,426,59,0,0
Lewisham 018A,E01003319,752,23,45,237,274,152,16,0
Lewisham 018B,E01003320,650,16,67,223,179,147,11,0
Lewisham 018C,E01003323,624,23,84,192,63,252,1,1
Lewisham 018D,E01003325,722,29,86,143,95,348,8,0
Lewisham 019A,E01003226,709,16,96,260,82,181,65,0
Lewisham 019B,E01003227,678,54,115,241,139,126,3,0
Lewisham 019C,E01003228,673,12,39,346,42,231,3,0
Lewisham 019D,E01003229,742,27,62,140,348,129,34,0
Lewisham 019E,E01003230,866,31,108,185,333,192,12,0
Lewisham 020A,E01003317,688,32,158,163,185,134,4,0
Lewisham 020B,E01003318,705,19,53,58,286,208,64,0
Lewisham 020C,E01003321,810,19,93,246,113,321,14,0
Lewisham 020D,E01003322,593,24,60,286,42,164,15,0
Lewisham 020E,E01003324,713,20,35,209,357,61,22,0
Lewisham 021A,E01003254,602,108,177,74,165,77,1,0
Lewisham 021B,E01003255,964,23,49,90,446,280,58,1
Lewisham 021C,E01003260,681,85,199,40,285,68,4,0
Lewisham 021D,E01003261,619,36,110,148,160,161,2,0
Lewisham 021E,E01003262,624,41,97,43,224,205,1,1
Lewisham 022A,E01003217,622,19,73,489,6,34,1,0
Lewisham 022B,E01003218,539,10,79,370,18,55,7,0
Lewisham 022C,E01003220,604,13,60,258,51,202,5,0
Lewisham 022D,E01003222,629,15,71,348,24,163,3,0
Lewisham 022E,E01003224,626,24,64,391,40,103,3,1
Lewisham 023A,E01003263,739,28,162,152,352,44,1,0
Lewisham 023B,E01003268,718,13,150,236,130,156,9,2
Lewisham 023C,E01003269,647,29,131,222,241,19,0,0
Lewisham 023D,E01003270,678,13,233,205,203,15,6,0
Lewisham 023E,E01003271,637,85,348,155,35,11,3,0
Lewisham 024A,E01003307,627,19,57,305,117,124,1,0
Lewisham 024B,E01003308,734,23,91,182,154,265,13,0
Lewisham 024C,E01003314,683,21,81,212,104,256,2,0
Lewisham 024D,E01003315,599,21,66,102,171,211,18,0
Lewisham 024E,E01003316,609,19,94,253,51,188,1,1
Lewisham 025A,E01003216,689,12,274,36,75,256,13,0
Lewisham 025B,E01003219,631,18,155,350,50,54,4,0
Lewisham 025C,E01003221,769,33,265,71,114,236,11,1
Lewisham 025D,E01003223,603,15,412,57,53,55,11,0
Lewisham 026A,E01003346,598,17,80,396,91,12,0,0
Lewisham 026B,E01003349,541,21,70,373,60,17,0,0
Lewisham 026C,E01003351,592,17,90,382,85,11,7,0
Lewisham 026D,E01003354,701,12,129,252,277,22,6,0
Lewisham 027A,E01003309,645,25,60,169,334,52,0,0
Lewisham 027B,E01003310,756,21,52,42,484,92,19,0
Lewisham 027C,E01003311,605,64,114,281,80,64,0,0
Lewisham 027D,E01003312,779,18,120,241,229,169,2,0
Lewisham 027E,E01003313,670,9,51,119,415,72,0,0
Lewisham 028A,E01003256,931,25,114,116,521,125,14,4
Lewisham 028B,E01003257,735,32,58,137,486,22,0,0
Lewisham 028C,E01003258,594,3,25,78,463,19,1,0
Lewisham 028D,E01003259,756,28,109,219,224,128,29,0
Lewisham 029A,E01003193,666,11,125,323,179,12,8,0
Lewisham 029B,E01003194,716,30,219,162,215,74,16,0
Lewisham 029C,E01003195,637,20,168,279,103,64,3,0
Lewisham 029D,E01003196,624,25,188,288,78,29,16,0
Lewisham 029E,E01003197,625,23,216,225,112,48,1,0
Lewisham 030A,E01003347,638,44,55,119,406,7,3,4
Lewisham 030B,E01003348,571,8,128,284,144,4,0,0
Lewisham 030C,E01003350,519,139,91,208,69,2,1,9
Lewisham 030D,E01003352,735,17,281,27,388,10,11,1
Lewisham 030E,E01003353,632,30,363,165,69,4,0,1
Lewisham 031A,E01003264,728,41,193,193,249,43,4,0
Lewisham 031B,E01003265,680,13,103,180,329,42,9,0
Lewisham 031C,E01003266,757,18,101,371,258,9,0,0
Lewisham 031D,E01003267,598,19,174,318,67,20,0,0
Lewisham 033A,E01003329,666,19,135,143,187,172,6,1
Lewisham 033B,E01003330,662,24,68,100,421,47,0,0
Lewisham 033C,E01003331,572,16,35,211,260,48,1,1
Lewisham 033D,E01003332,679,18,51,90,362,152,3,0
Lewisham 033E,E01003334,778,8,57,130,370,164,42,7
Lewisham 034A,E01003189,624,21,153,260,163,26,1,0
Lewisham 034B,E01003190,809,7,70,118,570,32,8,0
Lewisham 034C,E01003191,665,19,89,145,371,40,1,0
Lewisham 034D,E01003192,741,15,82,149,467,26,2,0
Lewisham 035A,E01003326,638,20,69,222,211,101,15,0
Lewisham 035B,E01003327,714,16,122,201,117,193,59,0
Lewisham 035C,E01003328,833,48,68,128,324,232,17,1
Lewisham 035D,E01003333,657,18,66,256,123,171,11,0
Lewisham 035E,E01003335,594,9,66,126,287,97,2,0
Lewisham 037A,E01003236,648,22,109,441,37,27,12,0
Lewisham 037B,E01003237,608,24,93,406,50,15,20,0
Lewisham 037C,E01003238,565,27,78,387,59,13,1,0
Lewisham 037D,E01003239,564,33,90,383,36,21,0,1
Lewisham 037E,E01032564,508,23,75,335,64,11,0,0
Lewisham 038A,E01003235,523,27,190,163,120,3,20,0
Lewisham 038B,E01003240,725,26,100,472,118,5,4,0
Lewisham 038C,E01003241,695,22,162,197,291,16,2,0
Lewisham 038D,E01003243,581,10,76,236,207,7,39,1
Lewisham 038E,E01032565,644,10,96,357,175,3,3,0
Lewisham 039A,E01003298,475,12,33,66,358,4,0,0
Lewisham 039B,E01003300,561,12,68,138,306,27,8,0
Lewisham 039C,E01003303,560,11,45,107,305,36,48,0
Lewisham 039D,E01003304,903,12,29,99,605,38,59,1
Lewisham 039E,E01032579,711,2,13,24,629,16,23,1
Newham 001A,E01003543,850,43,89,319,255,117,21,0
Newham 001B,E01003544,664,55,104,303,116,67,15,0
Newham 001C,E01003546,588,36,46,217,243,40,1,2
Newham 001D,E01003550,631,27,60,246,193,99,5,0
Newham 002A,E01003576,710,22,31,94,461,72,30,0
Newham 002B,E01003581,486,37,45,272,48,77,0,0
Newham 002C,E01003582,499,39,63,199,143,55,0,0
Newham 002D,E01003583,539,75,61,247,62,83,6,1
Newham 003A,E01003578,601,59,42,224,123,112,40,1
Newham 003B,E01003584,638,48,105,310,75,91,1,0
Newham 003C,E01003586,509,45,50,224,79,98,6,0
Newham 003D,E01003590,572,24,48,137,330,31,2,0
Newham 004A,E01003579,499,33,59,245,96,50,8,1
Newham 004B,E01003585,407,39,38,234,33,57,2,0
Newham 004C,E01003587,823,33,44,248,431,43,23,1
Newham 004D,E01003591,671,23,33,160,312,51,87,0
Newham 005A,E01003528,431,13,19,90,287,21,1,0
Newham 005B,E01003575,491,46,54,246,98,44,3,0
Newham 005C,E01003577,673,16,40,99,502,5,2,0
Newham 005D,E01003580,615,46,57,250,187,73,2,0
Newham 006A,E01003545,644,46,91,235,222,43,1,0
Newham 006B,E01003548,852,57,89,347,240,95,10,3
Newham 006C,E01003549,790,20,54,160,524,27,3,0
Newham 006D,E01003557,651,37,126,39,238,178,2,0
Newham 007A,E01003547,699,30,99,360,54,153,0,0
Newham 007B,E01003555,500,66,106,150,38,128,4,1
Newham 007C,E01003561,481,44,49,270,60,43,13,0
Newham 007D,E01003567,540,44,44,203,122,82,36,3
Newham 008A,E01003556,629,18,47,61,392,73,23,1
Newham 008B,E01003558,491,30,55,123,116,97,50,0
Newham 008C,E01003570,585,47,43,257,125,98,7,0
Newham 008D,E01003571,586,69,50,296,63,90,16,0
Newham 008E,E01003572,446,44,56,189,47,92,16,0
Newham 009A,E01003551,586,37,41,160,226,115,5,2
Newham 009B,E01003553,733,28,41,75,512,61,0,0
Newham 009C,E01003554,623,45,67,341,86,76,8,0
Newham 009D,E01003559,1001,44,69,334,441,96,9,0
Newham 010A,E01003529,597,57,58,320,47,67,46,0
Newham 010B,E01003530,468,64,59,286,21,38,0,0
Newham 010C,E01003531,516,37,58,230,99,59,30,0
Newham 010D,E01003532,513,45,56,293,45,72,0,2
Newham 010E,E01003534,643,68,86,317,67,91,14,0
Newham 011A,E01003533,482,38,65,228,85,61,2,0
Newham 011B,E01003560,448,52,50,299,13,32,2,0
Newham 011C,E01003563,538,64,54,286,37,78,8,0
Newham 011D,E01003588,454,57,45,241,57,54,0,0
Newham 011E,E01003589,512,71,58,270,35,59,17,0
Newham 012A,E01003616,658,27,72,185,298,51,24,0
Newham 012B,E01003617,1103,13,31,98,906,22,28,0
Newham 012C,E01003618,823,62,78,466,134,70,11,2
Newham 012D,E01003619,1087,27,54,126,798,26,26,4
Newham 013C,E01003615,643,40,64,251,199,68,12,1
Newham 013E,E01033578,603,4,2,5,573,7,2,3
Newham 013F,E01033579,618,9,9,35,531,26,5,0
Newham 013G,E01033583,1205,48,45,277,758,45,6,8
Newham 013H,E01033586,597,27,76,113,348,25,2,4
Newham 014A,E01003562,576,60,61,276,72,69,38,0
Newham 014B,E01003564,672,88,85,282,128,66,9,0
Newham 014C,E01003565,496,52,55,225,57,95,7,0
Newham 014D,E01003566,507,30,39,125,228,41,40,1
Newham 015A,E01003625,484,58,66,206,95,58,1,0
Newham 015B,E01003626,420,42,46,253,21,41,1,0
Newham 015C,E01003627,432,53,46,238,54,33,4,0
Newham 015D,E01003628,420,49,70,266,15,18,2,0
Newham 015E,E01003629,481,49,59,191,88,94,0,0
Newham 016A,E01003552,544,34,100,143,119,137,0,0
Newham 016B,E01003596,577,24,75,174,167,128,5,0
Newham 016C,E01003597,475,33,77,162,61,141,1,0
Newham 016D,E01003635,611,51,79,313,67,84,14,0
Newham 017A,E01003568,594,54,59,305,77,99,0,0
Newham 017B,E01003569,509,33,52,202,85,83,48,3
Newham 017C,E01003573,542,67,60,283,42,74,12,1
Newham 017D,E01003574,798,60,104,272,172,165,17,0
Newham 018A,E01003520,583,57,54,266,128,68,9,1
Newham 018B,E01003521,623,47,48,279,115,67,63,1
Newham 018C,E01003522,550,75,55,291,79,50,0,0
Newham 018D,E01003525,519,45,69,261,66,44,33,1
Newham 018E,E01003526,550,44,49,293,79,80,4,1
Newham 019A,E01003488,669,27,39,138,419,44,2,0
Newham 019B,E01003489,520,35,39,147,245,44,8,0
Newham 019C,E01003490,539,57,63,244,128,42,4,1
Newham 019D,E01003524,598,52,56,268,134,57,31,0
Newham 020A,E01003631,727,36,59,251,336,43,2,0
Newham 020B,E01003632,749,67,56,446,125,51,4,0
Newham 020C,E01003633,685,24,39,99,502,7,0,2
Newham 020D,E01003634,602,30,81,181,295,15,0,0
Newham 020E,E01003636,702,16,38,164,448,23,8,0
Newham 021A,E01003598,658,25,43,119,423,41,3,1
Newham 021B,E01003600,690,27,38,155,436,23,6,1
Newham 021C,E01003630,731,31,36,166,419,47,32,0
Newham 021D,E01003637,593,38,58,297,118,80,2,0
Newham 022A,E01003491,637,49,50,213,201,110,14,0
Newham 022B,E01003592,555,41,55,274,113,61,8,0
Newham 022C,E01003599,488,33,50,155,197,51,0,0
Newham 022D,E01003606,675,70,90,336,99,55,22,1
Newham 023A,E01003535,548,30,59,156,286,9,6,0
Newham 023B,E01003536,598,65,93,352,59,26,1,0
Newham 023C,E01003621,442,65,61,279,17,20,0,0
Newham 023D,E01003622,496,35,48,159,207,23,24,0
Newham 023E,E01003623,490,36,130,196,118,8,2,0
Newham 024A,E01003523,669,45,59,250,258,44,6,0
Newham 024B,E01003527,570,35,68,405,39,16,5,0
Newham 024C,E01003537,668,55,68,420,91,24,10,0
Newham 024D,E01003542,668,31,59,205,345,17,11,0
Newham 024E,E01003624,493,44,54,266,115,13,1,0
Newham 025A,E01003492,536,62,86,313,35,32,4,0
Newham 025B,E01003493,732,51,58,324,177,78,35,3
Newham 025C,E01003494,645,50,71,464,18,39,3,0
Newham 025D,E01003495,650,54,80,482,16,15,3,0
Newham 026A,E01003594,540,44,90,223,122,54,7,0
Newham 026B,E01003595,581,26,50,151,281,57,9,0
Newham 026C,E01003602,605,44,62,324,108,44,19,1
Newham 026D,E01003607,560,33,73,221,195,29,6,0
Newham 027A,E01003496,591,20,39,91,417,22,2,0
Newham 027B,E01003498,674,34,58,167,380,26,8,1
Newham 027C,E01003500,732,43,172,271,222,19,0,0
Newham 027D,E01003593,559,37,65,202,235,12,1,0
Newham 028A,E01003601,705,43,99,330,190,22,16,0
Newham 028B,E01003603,624,51,57,443,38,34,0,1
Newham 028C,E01003605,724,40,48,288,248,79,14,0
Newham 028D,E01003608,714,61,70,466,92,18,0,0
Newham 029A,E01003538,652,37,48,221,282,50,6,0
Newham 029B,E01003539,681,58,63,387,149,18,3,0
Newham 029C,E01003540,595,44,99,162,243,46,1,0
Newham 029D,E01003541,570,64,107,322,60,16,1,0
Newham 030A,E01003499,862,39,63,181,477,56,46,0
Newham 030B,E01003501,715,37,89,253,294,25,14,0
Newham 030C,E01003502,669,35,48,186,314,42,41,1
Newham 030D,E01003503,647,19,27,81,503,8,5,0
Newham 031A,E01003507,807,40,92,286,274,82,33,0
Newham 031B,E01003508,555,37,55,223,181,41,11,3
Newham 031C,E01003509,795,64,64,214,186,263,4,0
Newham 031D,E01003604,785,73,152,370,147,35,3,0
Newham 032A,E01003483,492,33,139,184,131,5,0,0
Newham 032B,E01003484,566,30,121,186,226,3,0,0
Newham 032C,E01003516,652,52,101,159,272,65,3,0
Newham 032D,E01003518,588,86,190,216,90,5,1,0
Newham 032E,E01003519,484,46,66,222,77,71,0,0
Newham 033A,E01003480,662,81,132,223,209,6,2,0
Newham 033B,E01003482,1033,52,87,183,697,4,5,1
Newham 033C,E01003486,455,32,60,172,186,4,1,0
Newham 033D,E01003487,424,31,63,169,151,8,2,0
Newham 034A,E01003497,622,56,88,310,140,24,4,0
Newham 034D,E01003506,489,19,54,167,237,7,4,1
Newham 034F,E01033574,579,2,1,3,565,1,1,0
Newham 034G,E01033575,545,3,1,2,513,5,4,0
Newham 034H,E01033576,618,8,24,62,506,5,0,0
Newham 034I,E01033584,564,20,45,115,369,9,1,0
Newham 034J,E01033585,954,30,62,120,704,25,2,0
Newham 035A,E01003479,612,44,161,234,152,18,1,0
Newham 035B,E01003481,500,26,123,198,142,9,2,0
Newham 035C,E01003485,560,116,164,156,116,4,4,0
Newham 035D,E01003513,558,79,165,222,71,21,0,0
Newham 036A,E01003511,452,20,61,98,269,4,0,0
Newham 036B,E01003512,678,50,119,318,178,12,1,0
Newham 036C,E01003514,532,51,60,224,186,9,2,0
Newham 036D,E01003515,755,24,52,136,522,15,6,0
Newham 036E,E01003517,605,61,73,237,223,11,0,0
Newham 037A,E01003609,1058,26,83,204,718,16,9,2
Newham 037C,E01003611,700,7,11,54,604,2,14,0
Newham 037E,E01033577,608,26,64,114,397,5,0,0
Newham 037F,E01033580,659,8,28,112,498,4,0,5
Newham 037G,E01033581,714,27,37,202,417,29,0,0
Newham 037H,E01033582,631,6,19,54,544,8,0,0
Southwark 001A,E01004029,819,6,59,138,592,23,1,0
Southwark 001B,E01004032,714,23,83,220,380,3,2,1
Southwark 001C,E01004053,877,8,70,159,607,29,1,0
Southwark 001D,E01004054,782,7,38,174,538,25,0,0
Southwark 001E,E01004055,513,16,90,245,157,4,0,1
Southwark 002A,E01003927,995,4,28,86,770,67,35,0
Southwark 002B,E01003929,1074,8,7,24,892,72,69,0
Southwark 002C,E01003934,811,6,10,32,712,15,36,0
Southwark 002D,E01003935,451,2,16,36,375,11,11,0
Southwark 002E,E01003939,836,3,7,3,790,10,21,0
Southwark 003A,E01003976,916,5,24,43,779,51,10,1
Southwark 003E,E01004027,993,5,5,12,906,29,28,1
Southwark 003F,E01032637,641,0,1,6,595,37,2,0
Southwark 003G,E01032638,653,1,3,9,584,29,1,26
Southwark 003H,E01032640,672,2,2,30,569,41,21,0
Southwark 003I,E01032646,737,4,6,28,559,78,62,0
Southwark 003J,E01032803,658,1,1,9,617,11,16,1
Southwark 003K,E01032834,666,0,0,5,590,57,11,0
Southwark 004A,E01003975,667,4,8,46,582,21,1,0
Southwark 004B,E01003978,908,3,11,32,840,14,8,0
Southwark 004C,E01004022,1146,12,36,176,901,16,2,0
Southwark 004D,E01004023,703,8,31,108,533,14,6,0
Southwark 004E,E01004028,713,1,3,5,683,15,2,1
Southwark 006A,E01003938,790,6,10,16,748,6,2,0
Southwark 006B,E01003940,620,3,5,15,586,7,2,0
Southwark 006C,E01003941,912,3,13,34,739,72,38,0
Southwark 006D,E01003942,561,5,13,20,499,12,3,0
Southwark 006E,E01003979,809,2,16,57,643,69,18,0
Southwark 006F,E01003981,693,8,10,15,601,41,15,0
Southwark 007A,E01004030,726,8,26,75,576,32,9,0
Southwark 007B,E01004031,880,12,33,171,620,36,8,0
Southwark 007C,E01004033,699,9,8,33,617,20,9,0
Southwark 007D,E01004034,635,4,2,15,596,10,3,0
Southwark 007E,E01004036,806,2,20,31,678,25,35,1
Southwark 008A,E01004056,906,23,67,179,617,16,4,0
Southwark 008B,E01004057,668,26,105,251,274,11,1,0
Southwark 008C,E01004058,855,5,10,90,692,9,2,46
Southwark 008D,E01004059,662,15,82,147,398,12,8,0
Southwark 008E,E01004060,785,1,10,40,701,14,16,1
Southwark 009A,E01003936,552,1,4,61,335,145,3,0
Southwark 009B,E01003937,734,2,3,17,658,34,16,0
Southwark 009C,E01003943,549,3,1,9,521,5,1,0
Southwark 009F,E01032720,681,4,1,9,615,7,20,0
Southwark 010A,E01003977,800,11,19,67,684,15,2,0
Southwark 010B,E01004037,878,7,7,36,798,20,2,0
Southwark 010C,E01004038,920,26,64,197,587,39,1,0
Southwark 010D,E01004042,762,6,22,80,597,7,42,0
Southwark 010E,E01004043,599,19,68,341,87,77,3,0
Southwark 011A,E01003986,549,13,26,64,409,12,14,2
Southwark 011B,E01003987,754,19,48,168,511,5,0,1
Southwark 011C,E01004024,819,4,5,34,751,22,2,1
Southwark 011D,E01004035,687,14,37,127,478,18,1,4
Southwark 012A,E01003960,766,13,21,174,412,137,6,1
Southwark 012B,E01003961,897,11,25,66,731,41,7,0
Southwark 012E,E01003994,622,9,32,91,355,84,25,0
Southwark 012F,E01032722,932,11,22,82,521,264,29,1
Southwark 013A,E01003980,847,16,32,186,571,16,19,2
Southwark 013B,E01004039,633,27,61,95,416,20,1,0
Southwark 013C,E01004040,680,8,11,22,608,11,1,0
Southwark 013D,E01004041,699,9,37,91,524,11,0,0
Southwark 013E,E01004044,556,6,11,71,435,27,0,0
Southwark 014A,E01003992,590,6,16,35,499,26,3,0
Southwark 014B,E01003995,738,2,11,67,644,7,1,0
Southwark 014D,E01003998,632,14,27,183,191,201,5,0
Southwark 014E,E01003999,602,5,23,118,426,29,1,0
Southwark 014F,E01032639,688,7,15,92,562,9,2,0
Southwark 014G,E01032719,623,4,5,27,560,11,7,0
Southwark 015A,E01003964,730,29,64,156,335,107,13,0
Southwark 015B,E01003966,745,10,15,68,552,63,25,1
Southwark 015C,E01003968,525,6,5,9,484,2,2,0
Southwark 015D,E01003971,608,3,4,4,563,6,0,1
Southwark 015E,E01003974,489,3,7,35,407,27,2,0
Southwark 016A,E01003963,662,3,3,27,608,8,4,0
Southwark 016B,E01003967,600,3,4,23,551,8,4,0
Southwark 016C,E01003970,579,4,16,105,442,2,0,3
Southwark 016D,E01003972,714,5,14,76,531,75,2,0
Southwark 016E,E01003973,739,5,5,33,642,21,17,0
Southwark 017A,E01003923,730,13,27,143,277,233,16,4
Southwark 017B,E01003969,764,9,34,133,375,147,55,0
Southwark 017C,E01003991,559,6,28,89,420,13,3,0
Southwark 017D,E01003993,630,1,3,3,595,8,8,0
Southwark 017E,E01003997,472,6,19,106,231,104,2,0
Southwark 018A,E01003983,730,6,6,31,653,15,1,1
Southwark 018B,E01003988,898,25,37,185,530,66,19,10
Southwark 018C,E01003989,720,11,16,45,597,12,15,0
Southwark 018D,E01003990,769,12,49,110,506,76,3,4
Southwark 018E,E01004007,436,6,28,51,332,11,3,1
Southwark 019A,E01003912,571,8,17,35,495,5,1,0
Southwark 019B,E01004011,724,18,46,113,536,7,1,1
Southwark 019C,E01004012,934,20,44,154,688,18,3,0
Southwark 019D,E01004013,606,33,89,170,310,3,1,0
