2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Camden 022C,E01000954,642,5,2,5,596,23,3,0
Camden 022D,E01000955,657,6,8,7,613,10,7,0
Camden 022E,E01000956,608,2,2,4,506,32,45,2
Camden 023A,E01000944,667,4,6,84,529,35,9,0
Camden 023B,E01000945,611,2,9,41,432,62,24,0
Camden 023C,E01000949,739,1,3,9,705,7,3,0
Camden 023D,E01000950,550,4,1,3,525,6,1,0
Camden 023E,E01000951,603,3,2,4,588,0,2,0
Camden 024A,E01000936,536,11,18,61,314,110,7,0
Camden 024B,E01000938,737,11,9,41,307,267,76,1
Camden 024C,E01000939,446,2,1,9,370,41,16,0
Camden 024D,E01000940,534,4,6,8,289,141,9,0
Camden 025A,E01000853,840,0,1,2,729,61,24,0
Camden 025B,E01000937,502,5,0,13,380,42,6,0
Camden 025C,E01000941,557,2,1,3,511,30,5,0
Camden 025D,E01000942,686,0,3,15,616,38,14,0
Camden 025E,E01000943,596,3,6,11,378,156,22,0
Camden 026A,E01000850,664,1,7,38,430,93,87,0
Camden 026B,E01000851,861,4,9,58,434,207,104,1
Camden 026C,E01000852,625,1,1,4,583,7,5,0
Camden 026D,E01000854,718,3,5,10,568,72,39,0
Camden 027A,E01000915,635,3,6,17,478,100,14,0
Camden 027B,E01000916,881,1,2,12,711,52,87,0
Camden 027C,E01000917,913,3,0,2,877,16,8,0
Camden 027D,E01000920,946,5,15,89,466,280,64,0
Camden 028A,E01000855,1111,11,0,12,754,134,22,0
Camden 028B,E01000914,970,3,10,27,686,80,157,0
Camden 028C,E01000918,935,1,4,21,670,103,104,1
Camden 028D,E01000919,834,3,6,25,574,105,105,0
City of London 001A,E01000001,876,0,2,9,835,11,19,0
City of London 001B,E01000002,830,0,1,32,783,1,13,0
City of London 001C,E01000003,817,0,0,3,805,3,4,0
City of London 001E,E01000005,467,1,1,0,438,10,17,0
City of London 001F,E01032739,676,6,4,15,494,57,90,0
City of London 001G,E01032740,719,8,4,12,478,63,149,0
Hackney 001A,E01001808,558,15,43,94,206,123,47,1
Hackney 001B,E01001809,610,28,44,140,214,152,2,0
Hackney 001C,E01001814,559,21,32,157,250,78,14,0
Hackney 001D,E01001823,538,16,57,168,249,47,0,1
